"client_id","age","district_id","gender","constellation"
1,"30",18,"female","Scorpio"
2,"55",1,"male","Pisces"
3,"60",1,"female","Libra"
4,"44",5,"male","Sagittarius"
5,"40",5,"female","Cancer"
6,"81",12,"male","Virgo"
7,"71",15,"male","Aquarius"
8,"62",51,"female","Pisces"
9,"65",60,"male","Libra"
10,"57",57,"male","Taurus"
11,"50",57,"female","Leo"
12,"19",40,"male","Pisces"
13,"26",54,"female","Gemini"
14,"58",76,"female","Cancer"
15,"82",21,"female","Virgo"
16,"81",21,"male","Pisces"
17,"66",76,"male","Libra"
18,"69",76,"female","Aries"
19,"58",47,"male","Capricom"
20,"21",46,"male","Capricom"
21,"48",12,"female","Scorpio"
22,"31",1,"female","Libra"
23,"27",1,"male","Gemini"
24,"61",43,"female","Leo"
25,"61",21,"female","Taurus"
26,"31",74,"female","Aries"
27,"34",54,"female","Aries"
28,"55",1,"male","Libra"
29,"49",30,"female","Virgo"
30,"43",74,"female","Libra"
31,"38",68,"male","Aquarius"
32,"20",52,"male","Leo"
33,"52",73,"female","Sagittarius"
36,"22",7,"female","Cancer"
37,"30",7,"male","Leo"
38,"27",36,"female","Leo"
39,"32",68,"male","Aquarius"
40,"43",5,"female","Aquarius"
41,"32",22,"male","Virgo"
42,"65",68,"male","Leo"
43,"80",75,"male","Scorpio"
44,"23",38,"female","Capricom"
45,"48",20,"male","Virgo"
46,"60",19,"female","Aquarius"
47,"66",76,"male","Cancer"
48,"60",16,"male","Aquarius"
49,"41",72,"female","Taurus"
50,"22",39,"female","Leo"
51,"21",36,"female","Sagittarius"
52,"76",32,"male","Sagittarius"
53,"23",64,"male","Taurus"
55,"52",45,"female","Virgo"
56,"40",21,"male","Aries"
57,"39",21,"female","Sagittarius"
58,"73",1,"female","Taurus"
59,"43",1,"male","Aquarius"
60,"20",67,"male","Pisces"
61,"52",16,"female","Leo"
62,"68",77,"male","Sagittarius"
63,"41",4,"male","Gemini"
64,"74",20,"male","Taurus"
65,"57",50,"female","Gemini"
66,"49",1,"female","Scorpio"
67,"68",29,"female","Scorpio"
68,"54",43,"male","Sagittarius"
70,"75",70,"male","Sagittarius"
71,"73",70,"female","Aquarius"
72,"77",47,"male","Capricom"
73,"76",22,"male","Pisces"
74,"75",22,"female","Leo"
75,"23",64,"female","Virgo"
76,"33",36,"female","Libra"
77,"44",1,"female","Aquarius"
